Week,30 yr FRM,Year
10/29/1982,14.15,1982
11/5/1982,13.91,1982
11/12/1982,13.84,1982
11/19/1982,13.78,1982
11/26/1982,13.77,1982
12/3/1982,13.66,1982
12/10/1982,13.66,1982
12/17/1982,13.63,1982
12/24/1982,13.60,1982
12/31/1982,13.57,1982
1/7/1983,13.46,1983
1/14/1983,13.31,1983
1/21/1983,13.12,1983
1/28/1983,13.10,1983
2/4/1983,13.06,1983
2/11/1983,13.06,1983
2/18/1983,13.07,1983
2/25/1983,12.98,1983
3/4/1983,12.74,1983
3/11/1983,12.79,1983
3/18/1983,12.81,1983
3/25/1983,12.86,1983
4/1/1983,12.82,1983
4/8/1983,12.82,1983
4/15/1983,12.79,1983
4/22/1983,12.75,1983
4/29/1983,12.73,1983
5/6/1983,12.71,1983
5/13/1983,12.59,1983
5/20/1983,12.55,1983
5/27/1983,12.68,1983
6/3/1983,12.74,1983
6/10/1983,12.82,1983
6/17/1983,12.96,1983
6/24/1983,12.96,1983
7/1/1983,13.08,1983
7/8/1983,13.30,1983
7/15/1983,13.50,1983
7/22/1983,13.58,1983
7/29/1983,13.65,1983
8/5/1983,13.73,1983
8/12/1983,13.84,1983
8/19/1983,13.89,1983
8/26/1983,13.78,1983
9/2/1983,13.77,1983
9/9/1983,13.77,1983
9/16/1983,13.72,1983
9/23/1983,13.72,1983
9/30/1983,13.65,1983
10/7/1983,13.59,1983
10/14/1983,13.60,1983
10/21/1983,13.52,1983
10/28/1983,13.43,1983
11/4/1983,13.42,1983
11/11/1983,13.47,1983
11/18/1983,13.42,1983
11/25/1983,13.43,1983
12/2/1983,13.41,1983
12/9/1983,13.38,1983
12/16/1983,13.42,1983
12/23/1983,13.46,1983
12/30/1983,13.43,1983
1/6/1984,13.43,1984
1/13/1984,13.40,1984
1/20/1984,13.35,1984
1/27/1984,13.29,1984
2/3/1984,13.26,1984
2/10/1984,13.23,1984
2/17/1984,13.19,1984
2/24/1984,13.25,1984
3/2/1984,13.23,1984
3/9/1984,13.30,1984
3/16/1984,13.37,1984
3/23/1984,13.48,1984
3/30/1984,13.55,1984
4/6/1984,13.63,1984
4/13/1984,13.58,1984
4/20/1984,13.67,1984
4/27/1984,13.73,1984
5/4/1984,13.78,1984
5/11/1984,13.87,1984
5/18/1984,14.04,1984
5/25/1984,14.08,1984
6/1/1984,14.29,1984
